county,lbs_2012,rank_2012,lbs_2013,rank_2013
alameda,289813,39,314537,38
alpine,140,58,266,58
amador,60779,46,77428,46
butte,2828773,18,2984520,17
calaveras,43779,49,29380,48
colusa,2536185,19,2836263,18
contra costa,468149,36,395481,36
del norte,301298,38,284086,40
el dorado,148674,42,143502,42
fresno,33306325,1,34193393,1
glenn,2086317,21,2157027,22
humboldt,37219,50,27265,51
imperial,5898441,12,4311787,12
inyo,9797,54,15627,54
kern,27816290,2,31245295,2
kings,6783058,9,7426510,8
lake,562729,34,594735,34
lassen,116780,43,136083,43
los angeles,2027461,22,2434430,20
madera,9467822,5,10191490,5
marin,73588,45,84836,45
mariposa,4390,56,17777,53
mendocino,893795,31,987222,30
merced,7270916,8,8527500,7
modoc,114997,44,87856,44
mono,5489,55,11228,56
monterey,9047989,6,8539894,6
napa,1332243,26,1259700,26
nevada,46862,48,47547,47
orange,992795,28,1075223,29
placer,325016,37,303083,39
plumas,47919,47,25684,52
riverside,2851900,17,2456875,19
sacramento,3266080,13,3640608,13
san benito,611873,33,653783,33
san bernardino,534780,35,572458,35
san diego,1362582,25,1653180,25
san francisco,31656,51,28727,49
san joaquin,9562126,4,11017592,4
san luis obispo,2866739,16,3066374,16
san mateo,212261,41,249542,41
santa barbara,6185839,11,4665022,11
santa clara,906608,30,954486,31
santa cruz,1687988,24,1743083,24
shasta,275898,40,322139,37
sierra,3307,57,4937,57
siskiyou,1869645,23,1846509,23
solano,977358,29,1170927,28
sonoma,2282075,20,2172032,21
stanislaus,6455449,10,6905458,9
sutter,2923149,15,3182823,15
tehama,690489,32,854682,32
trinity,17651,53,11977,55
tulare,14161509,3,14579963,3
tuolumne,28526,52,28379,50
ventura,7604327,7,6226684,10
yolo,3208840,14,3578175,14
yuba,1129466,27,1244731,27
