county,lbs_2011,rank_2011,lbs_2012,rank_2012
alameda,352925,37,289411,39
alpine,621,58,155,58
amador,95377,44,61705,46
butte,2094646,21,2795981,18
calaveras,78444,46,40532,48
colusa,2523891,18,2540002,19
contra costa,411502,36,478769,36
del norte,293163,38,299458,38
el dorado,130851,42,148929,42
fresno,36742956,1,33238182,1
glenn,2326252,19,1887874,22
humboldt,27881,51,37618,49
imperial,5222679,11,5845189,12
inyo,7800,54,9750,54
kern,28160997,2,27548925,2
kings,7180729,8,6630944,9
lake,699221,32,562739,34
lassen,80165,45,65995,45
los angeles,1652065,23,2041840,21
madera,11639501,4,9475529,5
marin,64963,48,73082,44
mariposa,5883,55,4403,56
mendocino,782982,31,890818,31
merced,7029359,9,7256071,8
modoc,116185,43,115026,43
mono,9745,53,5489,55
monterey,8592403,6,9214278,6
napa,1393623,24,1301567,26
nevada,30363,50,46748,47
orange,959407,28,1024479,28
placer,267146,40,325694,37
plumas,2939,56,34328,50
riverside,2117956,20,2815462,17
sacramento,3562310,13,3265064,14
san benito,533185,34,612577,33
san bernardino,509146,35,520269,35
san diego,1358088,25,1354849,25
san francisco,40667,49,31992,51
san joaquin,10862797,5,9556521,4
san luis obispo,3244942,15,2824889,16
san mateo,284574,39,212415,41
santa barbara,5187768,12,6180856,11
santa clara,892257,29,899928,30
santa cruz,1682416,22,1693000,24
shasta,232544,41,277430,40
sierra,718,57,3307,57
siskiyou,1251340,26,1864896,23
solano,548617,33,962273,29
sonoma,2661814,17,2243080,20
stanislaus,6391740,10,6463110,10
sutter,3134668,16,2909561,15
tehama,879269,30,680068,32
trinity,25158,52,17638,53
tulare,15273797,3,14164763,3
tuolumne,71101,47,28443,52
ventura,7528413,7,7653583,7
yolo,3266316,14,3280214,13
yuba,1203499,27,1133656,27
